index|name|sex|age|price|level|port|surviving
1|Braund, Mr. Owen Harris|male|22.0|7.25|3|S|0
2|Cumings, Mrs. John Bradley (Florence Briggs Thayer)|female|38.0|71.2833|1|C|1
3|Heikkinen, Miss. Laina|female|26.0|7.925|3|S|1
4|Futrelle, Mrs. Jacques Heath (Lily May Peel)|female|35.0|53.1|1|S|1
5|Allen, Mr. William Henry|male|35.0|8.05|3|S|0
6|Moran, Mr. James|male||8.4583|3|Q|0
7|McCarthy, Mr. Timothy J|male|54.0|51.8625|1|S|0
8|Palsson, Master. Gosta Leonard|male|2.0|21.075|3|S|0
9|Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)|female|27.0|11.1333|3|S|1
10|Nasser, Mrs. Nicholas (Adele Achem)|female|14.0|30.0708|2|C|1
11|Sandstrom, Miss. Marguerite Rut|female|4.0|16.7|3|S|1
12|Bonnell, Miss. Elizabeth|female|58.0|26.55|1|S|1
13|Saundercock, Mr. William Henry|male|20.0|8.05|3|S|0
14|Andersson, Mr. Anders Johan|male|39.0|31.275|3|S|0
15|Vestrom, Miss. Hulda Amanda Adolfina|female|14.0|7.8542|3|S|0
16|Hewlett, Mrs. (Mary D Kingcome) |female|55.0|16.0|2|S|1
17|Rice, Master. Eugene|male|2.0|29.125|3|Q|0
18|Williams, Mr. Charles Eugene|male||13.0|2|S|1
19|Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)|female|31.0|18.0|3|S|0
20|Masselmani, Mrs. Fatima|female||7.225|3|C|1
21|Fynney, Mr. Joseph J|male|35.0|26.0|2|S|0
22|Beesley, Mr. Lawrence|male|34.0|13.0|2|S|1
23|"McGowan, Miss. Anna ""Annie"""|female|15.0|8.0292|3|Q|1
24|Sloper, Mr. William Thompson|male|28.0|35.5|1|S|1
25|Palsson, Miss. Torborg Danira|female|8.0|21.075|3|S|0
26|Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)|female|38.0|31.3875|3|S|1
27|Emir, Mr. Farred Chehab|male||7.225|3|C|0
28|Fortune, Mr. Charles Alexander|male|19.0|263.0|1|S|0
29|"O'Dwyer, Miss. Ellen ""Nellie"""|female||7.8792|3|Q|1
30|Todoroff, Mr. Lalio|male||7.8958|3|S|0
31|Uruchurtu, Don. Manuel E|male|40.0|27.7208|1|C|0
32|Spencer, Mrs. William Augustus (Marie Eugenie)|female||146.5208|1|C|1
33|Glynn, Miss. Mary Agatha|female||7.75|3|Q|1
34|Wheadon, Mr. Edward H|male|66.0|10.5|2|S|0
35|Meyer, Mr. Edgar Joseph|male|28.0|82.1708|1|C|0
36|Holverson, Mr. Alexander Oskar|male|42.0|52.0|1|S|0
37|Mamee, Mr. Hanna|male||7.2292|3|C|1
38|Cann, Mr. Ernest Charles|male|21.0|8.05|3|S|0
39|Vander Planke, Miss. Augusta Maria|female|18.0|18.0|3|S|0
40|Nicola-Yarred, Miss. Jamila|female|14.0|11.2417|3|C|1
41|Ahlin, Mrs. Johan (Johanna Persdotter Larsson)|female|40.0|9.475|3|S|0
